"Story","Title","Result","Date","Stability","Duration (s)"
"First serenity test","This is a manual test","PENDING","2017-07-30T12:43:16.644-04:00","0.0","0.37"
"First serenity test","This is a pending test","PENDING","2017-07-30T12:43:16.258-04:00","0.0","0.39"
